trial,seed,fold,rmse,error_mean,error_std
5,42,0,0.6239543512394548,0.25007739663124084,0.571647047996521
5,42,1,0.36758782498637865,-0.06977066397666931,0.36090561747550964
5,42,2,0.34058098464901443,0.056959833949804306,0.33578410744667053
6,42,0,0.557684899275873,0.2294410914182663,0.5083003640174866
6,42,1,0.3628439578629949,-0.035399045795202255,0.361113041639328
6,42,2,0.3452403424678052,0.08291640132665634,0.33513543009757996
7,42,0,0.5915040906553467,0.25830793380737305,0.5321222543716431
7,42,1,0.3916045305325101,0.16175706684589386,0.35663533210754395
7,42,2,0.38466737916140514,0.18144366145133972,0.33918607234954834
8,42,0,0.594126983225133,0.24564389884471893,0.540967583656311
8,42,1,0.45398581065257976,-0.2784605920314789,0.3585565388202667
8,42,2,0.38234226383969555,-0.15315037965774536,0.3503292202949524
9,42,0,0.5737766718015141,0.23748743534088135,0.5223211646080017
9,42,1,0.33220251939396384,0.04534599930047989,0.3290930688381195
9,42,2,0.3536446478163222,0.08019764721393585,0.3444312512874603
10,42,0,0.618722118366012,0.31187593936920166,0.5343692302703857
10,42,1,0.33279799398410265,0.07585020363330841,0.32403895258903503
10,42,2,0.34376783758179374,-0.05541735887527466,0.3392716348171234
11,42,0,0.5905103390520948,0.2828834354877472,0.5183429718017578
11,42,1,0.3283247793643773,0.06148725003004074,0.3225158452987671
11,42,2,0.343317800528503,-0.07247675210237503,0.335580438375473
12,42,0,0.5898498130638303,0.27960771322250366,0.5193672776222229
12,42,1,0.3350076781823482,0.0627017617225647,0.32908758521080017
12,42,2,0.34857355677424845,0.0810791477560997,0.33901283144950867
13,42,0,0.6411010555080733,0.3184278607368469,0.5564299821853638
13,42,1,0.33137215665117586,0.06928777694702148,0.32404738664627075
13,42,2,0.34826175594067565,-0.07106108218431473,0.3409348428249359
14,42,0,0.5710273599717074,0.25417113304138184,0.5113406777381897
14,42,1,0.3278638618022967,0.028283772990107536,0.32664161920547485
14,42,2,0.3516972813267172,0.09237110614776611,0.3393501937389374
15,42,0,0.6029189286478456,0.30906033515930176,0.5176803469657898
15,42,1,0.40892773065641214,-0.2451661080121994,0.3272850215435028
15,42,2,0.3391006171427876,-0.04415695741772652,0.3362133204936981
16,42,0,0.554978898566564,0.20519424974918365,0.5156518816947937
16,42,1,0.32023018267703246,0.02388535626232624,0.3193381726741791
16,42,2,0.34487023750077983,0.07587774097919464,0.3364194631576538
17,42,0,0.5743424937500528,0.283573180437088,0.4994553029537201
17,42,1,0.3338861488321801,0.08389857411384583,0.32317331433296204
17,42,2,0.3683770977461481,0.14338944852352142,0.3393245339393616
18,42,0,0.5699801325681849,0.2625620365142822,0.5059036612510681
18,42,1,0.3261756097271389,0.049305375665426254,0.32242751121520996
18,42,2,0.35719665352080343,0.10423466563224792,0.3416498005390167
19,42,0,0.5991299977530845,0.305057168006897,0.5156518220901489
19,42,1,0.37616863546432305,0.0776544064283371,0.36806607246398926
19,42,2,0.3457733449364132,-0.08390381932258606,0.3354390263557434
20,42,0,0.5535616126706421,0.21764564514160156,0.5089801549911499
20,42,1,0.3410311923674104,0.052673399448394775,0.33693885803222656
20,42,2,0.34994352344848234,0.10113721340894699,0.3350100517272949
21,42,0,0.5612064959821005,0.23637454211711884,0.5089988112449646
21,42,1,0.3422004605804356,0.0579310767352581,0.33726122975349426
21,42,2,0.351961587514127,0.11418421566486359,0.33292481303215027
22,42,0,0.5765980324483031,0.24949738383293152,0.5198233723640442
22,42,1,0.33933590619901766,0.02789974771440029,0.33818700909614563
22,42,2,0.3378857628797748,0.03529300540685654,0.3360374867916107
23,42,0,0.5698546570638053,0.2658612132072449,0.5040358304977417
23,42,1,0.3470589296173436,0.06607143580913544,0.34071171283721924
23,42,2,0.3594001678278536,0.1334078013896942,0.3337227404117584
24,42,0,0.5931950535621375,0.28715819120407104,0.5190573334693909
24,42,1,0.34274371200305603,0.03040933981537819,0.34139204025268555
24,42,2,0.3437732233525747,0.06668886542320251,0.33724266290664673
25,42,0,0.5732334012815531,0.22040773928165436,0.5291662812232971
25,42,1,0.32496026282200896,-0.057787563651800156,0.3197808265686035
25,42,2,0.34435474779288205,0.03759166598320007,0.3422967493534088
26,42,0,0.5843621247449051,0.2337118536233902,0.535591185092926
26,42,1,0.32354094422123203,-0.03268509730696678,0.32188573479652405
26,42,2,0.34999521371429804,0.07609928399324417,0.34162193536758423
27,42,0,0.5889900041486528,0.2420056313276291,0.5369753241539001
27,42,1,0.3281351496625341,-0.021137315779924393,0.3274536430835724
27,42,2,0.34644264391349733,0.0840904489159584,0.3360822796821594
28,42,0,0.5634289594141559,0.23432649672031403,0.5123897790908813
28,42,1,0.3675945541812785,0.032091788947582245,0.366191029548645
28,42,2,0.3451802453558766,0.08571802824735641,0.3343677520751953
29,42,0,0.5876914158923611,0.1991942971944809,0.552903950214386
29,42,1,0.3366650642559108,-0.09783262014389038,0.32213684916496277
29,42,2,0.34752866997218623,0.06704457849264145,0.3410002887248993
